t,state,generation,root,parent
0,0,0,1,1
1,2,0,1,1
0,2,0,2,2
1,2,0,2,2
2,2,0,2,2
3,2,0,2,2
0,3,0,3,3
1,3,0,3,3
2,3,0,3,3
3,3,0,3,3
4,3,0,3,3
5,3,0,3,3
6,3,0,3,3
7,3,0,3,3
8,3,0,3,3
9,3,0,3,3
10,3,0,3,3
11,3,0,3,3
12,3,0,3,3
0,0,0,4,4
1,0,0,4,4
2,0,0,4,4
3,0,0,4,4
4,0,0,4,4
5,0,0,4,4
6,0,0,4,4
7,0,0,4,4
8,0,0,4,4
9,0,0,4,4
10,0,0,4,4
11,0,0,4,4
12,0,0,4,4
13,0,0,4,4
14,0,0,4,4
15,0,0,4,4
16,0,0,4,4
17,0,0,4,4
18,0,0,4,4
19,0,0,4,4
20,0,0,4,4
21,0,0,4,4
22,0,0,4,4
23,0,0,4,4
24,0,0,4,4
25,0,0,4,4
26,0,0,4,4
27,0,0,4,4
28,0,0,4,4
29,0,0,4,4
30,0,0,4,4
31,0,0,4,4
32,0,0,4,4
33,0,0,4,4
34,0,0,4,4
35,0,0,4,4
36,0,0,4,4
37,0,0,4,4
38,0,0,4,4
39,0,0,4,4
40,0,0,4,4
41,0,0,4,4
42,0,0,4,4
43,0,0,4,4
44,0,0,4,4
45,0,0,4,4
46,0,0,4,4
47,0,0,4,4
48,0,0,4,4
49,0,0,4,4
50,0,0,4,4
51,0,0,4,4
52,0,0,4,4
53,0,0,4,4
54,0,0,4,4
55,0,0,4,4
56,0,0,4,4
57,0,0,4,4
58,0,0,4,4
59,0,0,4,4
60,0,0,4,4
61,0,0,4,4
62,0,0,4,4
63,0,0,4,4
64,0,0,4,4
65,0,0,4,4
66,0,0,4,4
67,0,0,4,4
68,0,0,4,4
69,0,0,4,4
70,0,0,4,4
71,0,0,4,4
72,0,0,4,4
73,0,0,4,4
74,0,0,4,4
75,0,0,4,4
76,0,0,4,4
77,0,0,4,4
78,0,0,4,4
79,0,0,4,4
80,0,0,4,4
81,0,0,4,4
82,0,0,4,4
83,0,0,4,4
84,0,0,4,4
85,0,0,4,4
86,0,0,4,4
87,0,0,4,4
88,0,0,4,4
89,0,0,4,4
90,0,0,4,4
91,0,0,4,4
92,0,0,4,4
93,0,0,4,4
94,0,0,4,4
95,0,0,4,4
96,0,0,4,4
97,0,0,4,4
98,0,0,4,4
99,0,0,4,4
100,0,0,4,4
101,0,0,4,4
102,0,0,4,4
103,0,0,4,4
104,0,0,4,4
105,0,0,4,4
106,0,0,4,4
107,0,0,4,4
108,0,0,4,4
109,0,0,4,4
110,0,0,4,4
111,0,0,4,4
112,0,0,4,4
113,0,0,4,4
114,0,0,4,4
115,0,0,4,4
116,0,0,4,4
117,0,0,4,4
118,0,0,4,4
119,0,0,4,4
120,0,0,4,4
121,0,0,4,4
122,0,0,4,4
123,0,0,4,4
124,0,0,4,4
125,0,0,4,4
126,0,0,4,4
127,0,0,4,4
128,0,0,4,4
129,0,0,4,4
130,0,0,4,4
131,1,0,4,4
132,0,0,4,4
133,0,0,4,4
134,0,0,4,4
135,0,0,4,4
136,0,0,4,4
137,0,0,4,4
138,0,0,4,4
139,0,0,4,4
140,0,0,4,4
141,0,0,4,4
142,0,0,4,4
143,0,0,4,4
144,0,0,4,4
145,0,0,4,4
146,0,0,4,4
147,0,0,4,4
148,0,0,4,4
